Accel_x,Accel_y,Accel_z
0.316,2.186,0.799
0.125,2.388,0.821
0.036,2.447,0.845
-0.115,2.531,0.854
-0.163,2.609,0.913
-0.226,2.643,0.959
-0.252,2.709,1.078
-0.312,2.743,1.202
-0.396,2.796,1.264
-0.441,2.815,1.387
-0.541,2.846,1.449
-0.656,2.853,1.555
-0.717,2.889,1.602
-0.828,2.725,1.673
-0.908,2.729,1.543
-1.12,2.695,1.49
-1.161,2.552,1.408
-1.15,2.422,1.384
-1.205,2.332,1.272
-1.235,2.262,1.148
-1.236,2.2,1.032
-1.187,2.107,0.976
-1.154,1.952,0.864
-1.081,1.902,0.651
-0.882,1.742,0.833
-0.829,1.715,0.753
-0.735,1.553,0.713
-0.671,1.391,0.631
-0.514,1.35,0.611
-0.293,1.178,0.595
-0.256,1.11,0.622
-0.123,1.021,0.638
-0.072,0.934,0.637
-0.014,0.906,0.594
0.085,0.796,0.625
0.108,0.779,0.611
0.14,0.786,0.622
0.161,0.812,0.676
0.182,0.842,0.735
0.178,0.891,0.793
0.148,0.92,0.819
0.133,0.946,0.875
0.103,0.967,0.892
0.239,0.951,0.981
0.106,0.834,0.994
0.159,1.028,1.095
0.163,0.817,1.068
0.154,0.849,1.089
0.165,0.854,1.088
0.182,0.787,1.046
0.174,0.737,1.032
0.183,0.759,1.035
0.198,0.771,1.029
0.198,0.7,0.991
0.176,0.703,0.963
0.155,0.712,0.956
0.15,0.699,0.947
0.143,0.688,0.945
0.138,0.683,0.935
0.124,0.7,0.933
0.118,0.729,0.951
0.096,0.728,0.965
0.081,0.696,0.989
0.065,0.682,1.008
0.068,0.634,1.01
0.081,0.574,1.029
0.105,0.552,1.035
0.118,0.493,1.042
0.127,0.479,1.062
0.142,0.434,1.077
0.236,-0.93,0.868
0.275,-0.965,0.86
0.309,-1.023,0.856
0.321,-1.086,0.85
0.338,-1.116,0.846
0.346,-1.163,0.845
0.354,-1.204,0.843
0.369,-1.217,0.849
